Store_ID,Region,State,City,Postal_Code,Store_Address,Selling_Area_Size_Sqft,Store_Type,Operating_Start,Operating_End,Store_Open_Date,Parking_Availability,Security_Features,Staff_Count,Manager_ID,Manager_Name
STORE012,West,Gujarat,Ahmedabad,380907,"Shop 341, Building 31, Lake View Road, Near Main Market, Ahmedabad, Gujarat – 380907",1300,Rented,10:00:00,21:00:00,27-12-2022,Available,None,9,MGR0011,Pooja R. Bhat
STORE013,West,Gujarat,Ahmedabad,380182,"Store 113, Block A, Central Avenue, Ahmedabad, Gujarat – 380182",1300,Rented,10:00:00,21:00:00,18-11-2021,Not Available,Alarm,15,MGR0021,Pranav V. Khan
STORE014,West,Gujarat,Ahmedabad,380287,"City Square Mall, Unit 6, Ground Floor, Main Bazaar Road, Ahmedabad, Gujarat – 380287",1200,Owned,10:00:00,21:00:00,30-07-2021,Available,Alarm,4,MGR0035,Rohan Prasad
STORE015,West,Gujarat,Ahmedabad,380877,"Store 228, Block D, MG Road, Ahmedabad, Gujarat – 380877",1200,Owned,11:00:00,20:00:00,18-08-2020,Not Available,None,12,MGR0176,Mohit Saxena
STORE016,West,Gujarat,Ahmedabad,380250,"Store No. 170, Ground Floor, Riverview Commercial Hub, Near IT Park, Ahmedabad, Gujarat – 380250",1300,Rented,11:00:00,20:00:00,31-10-2022,Not Available,"CCTV, Alarm",20,MGR0191,Lokesh Dutta
STORE017,West,Gujarat,Surat,395395,"Shop 295, Building 133, Industrial Area Road, Near Metro Station, Surat, Gujarat – 395395",800,Rented,10:00:00,19:00:00,19-06-2020,Available,CCTV,4,MGR0028,Manish Mehta
STORE018,West,Gujarat,Surat,395208,"Store No. 447, 3rd Floor, Green Park Market, Near Main Market, Surat, Gujarat – 395208",800,Rented,11:00:00,20:00:00,04-11-2020,Available,"CCTV, Alarm",17,MGR0064,Meera S. Joshi
STORE019,West,Gujarat,Surat,395846,"Shop 282, Building 51, Industrial Area Road, Near Main Market, Surat, Gujarat – 395846",800,Rented,10:00:00,19:00:00,27-07-2021,Not Available,CCTV,4,MGR0106,Gaurav Saxena
STORE020,West,Gujarat,Surat,395803,"Shop 247, Building 26, Ring Road, Opp. Bus Stand, Surat, Gujarat – 395803",1400,Rented,10:00:00,21:00:00,04-09-2020,Available,CCTV,14,MGR0193,Manish Gupta
STORE021,West,Gujarat,Surat,395124,"Store 323, Block A, Station Road, Surat, Gujarat – 395124",1100,Rented,11:00:00,20:00:00,13-11-2020,Available,Alarm,14,MGR0194,Sanjay Malhotra
STORE022,West,Gujarat,Vadodara,390561,"Retail Unit 178, Galaxy Mall, Opp. Behind City Mall, Vadodara, Gujarat – 390561",1200,Rented,11:00:00,20:00:00,11-06-2020,Not Available,Alarm,3,MGR0013,Dev K. Kumar
STORE023,West,Gujarat,Vadodara,390971,"Retail Unit 411, Pearl Tower, Opp. Near Railway Station, Vadodara, Gujarat – 390971",1200,Rented,10:00:00,21:00:00,10-03-2020,Available,CCTV,5,MGR0025,Sameer Naik
STORE024,West,Gujarat,Vadodara,390674,"Store 127, Block B, Ring Road, Vadodara, Gujarat – 390674",800,Rented,11:00:00,20:00:00,30-03-2020,Available,Alarm,10,MGR0031,Vikas Shah
STORE025,West,Gujarat,Vadodara,390188,"Riverview Commercial Hub, Unit 255, 1st Floor, Central Avenue, Vadodara, Gujarat – 390188",1000,Rented,10:00:00,19:00:00,06-05-2020,Available,CCTV,9,MGR0036,Kritika Thomas
STORE026,West,Gujarat,Vadodara,390977,"Retail Unit 330, Green Park Market, Opp. Opp. Central Hospital, Vadodara, Gujarat – 390977",1400,Rented,11:00:00,20:00:00,04-09-2022,Not Available,CCTV,20,MGR0172,Vikram Bose
STORE027,West,Gujarat,Vadodara,390240,"Shop 237, Building 61, Main Bazaar Road, Behind Police Station, Vadodara, Gujarat – 390240",1100,Rented,09:00:00,20:00:00,26-05-2023,Not Available,CCTV,5,MGR0189,Kabir Joshi
STORE028,West,Gujarat,Vadodara,390617,"Omkar Plaza, Unit 398, 1st Floor, MG Road, Vadodara, Gujarat – 390617",1400,Owned,10:00:00,21:00:00,12-04-2021,Available,Alarm,3,MGR0197,Meera Mehta
STORE029,South,Karnataka,Bengaluru,560995,"Sunrise Plaza, Unit 486, 2nd Floor, Station Road, Bengaluru, Karnataka – 560995",1400,Rented,11:00:00,20:00:00,02-09-2021,Available,None,8,MGR0010,Ishaan Rang
STORE030,South,Karnataka,Bengaluru,560195,"Shop No. 8, Blue Diamond Complex, Near Near Railway Station, Bengaluru, Karnataka – 560195",1000,Rented,11:00:00,20:00:00,13-10-2020,Available,CCTV,4,MGR0016,Anjali Khanolkar
STORE031,South,Karnataka,Bengaluru,560819,"Store No. 313, 1st Floor, Galaxy Mall, Near Railway Station, Bengaluru, Karnataka – 560819",1200,Rented,10:00:00,21:00:00,18-12-2020,Not Available,"CCTV, Alarm",11,MGR0122,Neha Ghosh
STORE032,South,Karnataka,Bengaluru,560996,"Store 254, Block A, Main Bazaar Road, Bengaluru, Karnataka – 560996",1300,Owned,10:00:00,21:00:00,05-06-2023,Not Available,None,6,MGR0124,Gayatri Yadav
STORE033,South,Karnataka,Bengaluru,560338,"Store 460, Block B, Central Avenue, Bengaluru, Karnataka – 560338",1300,Rented,11:00:00,20:00:00,06-04-2023,Available,"CCTV, Alarm",17,MGR0160,Sanjay Shreya Malhotra
STORE034,South,Karnataka,Mysuru,570794,"Omkar Plaza, Unit 498, 2nd Floor, MG Road, Mysuru, Karnataka – 570794",1400,Owned,10:00:00,19:00:00,29-05-2022,Not Available,"CCTV, Alarm",19,MGR0005,Ishaan Sen
STORE035,South,Karnataka,Mysuru,570774,"Shop 263, Building 89, Central Avenue, Near Metro Station, Mysuru, Karnataka – 570774",1100,Rented,10:00:00,21:00:00,19-10-2020,Not Available,Alarm,5,MGR0019,Dinesh Khanolkar
STORE036,South,Karnataka,Mysuru,570273,"Store 336, Block C, Main Bazaar Road, Mysuru, Karnataka – 570273",1300,Owned,11:00:00,20:00:00,03-06-2023,Not Available,"CCTV, Alarm",9,MGR0111,Kapil P. Bose
STORE037,South,Karnataka,Mysuru,570790,"Retail Unit 330, Sunrise Plaza, Opp. Behind School Complex, Mysuru, Karnataka – 570790",1400,Owned,09:00:00,20:00:00,11-05-2020,Not Available,CCTV,10,MGR0158,Sameer Karan Chaudhary
STORE038,West,Maharashtra,Mumbai,400306,"Store 64, Block B, Station Road, Mumbai, Maharashtra – 400306",1300,Owned,09:00:00,20:00:00,05-03-2023,Not Available,"CCTV, Alarm",10,MGR0061,Madhuri P. Singh
STORE039,West,Maharashtra,Mumbai,400587,"Shop 377, Building 181, Park Street, Near Metro Station, Mumbai, Maharashtra – 400587",1000,Rented,10:00:00,21:00:00,07-09-2019,Not Available,CCTV,4,MGR0089,Karan R. Joshi
STORE040,West,Maharashtra,Mumbai,400375,"Blue Diamond Complex, Unit 332, 1st Floor, Main Bazaar Road, Mumbai, Maharashtra – 400375",1100,Owned,10:00:00,19:00:00,10-10-2020,Not Available,CCTV,16,MGR0138,Dev Sharma
STORE041,West,Maharashtra,Mumbai,400290,"Store No. 241, 1st Floor, Prime Square, Behind City Mall, Mumbai, Maharashtra – 400290",1200,Rented,11:00:00,20:00:00,28-08-2020,Not Available,"CCTV, Alarm",4,MGR0179,Arjun Nath
STORE042,West,Maharashtra,Nagpur,440156,"Store 142, Block B, Park Street, Nagpur, Maharashtra – 440156",1400,Rented,10:00:00,19:00:00,11-07-2019,Not Available,CCTV,8,MGR0045,Ravi Verma
STORE043,West,Maharashtra,Nagpur,440336,"Store No. 383, Ground Floor, City Square Mall, Near IT Park, Nagpur, Maharashtra – 440336",1100,Rented,10:00:00,21:00:00,14-02-2021,Available,Alarm,13,MGR0068,Sanya Mehta
STORE044,West,Maharashtra,Nagpur,440803,"Riverview Commercial Hub, Unit 351, Ground Floor, MG Road, Nagpur, Maharashtra – 440803",1200,Owned,09:00:00,20:00:00,26-10-2023,Available,CCTV,3,MGR0086,Suresh Sameer Chopra
STORE045,West,Maharashtra,Nagpur,440608,"Omkar Plaza, Unit 251, 3rd Floor, Central Avenue, Nagpur, Maharashtra – 440608",950,Owned,10:00:00,19:00:00,03-10-2022,Not Available,"CCTV, Alarm",3,MGR0104,Neha Kher
STORE046,West,Maharashtra,Pune,411902,"Shop 230, Building 42, Industrial Area Road, Near Metro Station, Pune, Maharashtra – 411902",950,Owned,10:00:00,21:00:00,20-09-2021,Not Available,Alarm,13,MGR0054,Suresh Naik
STORE047,West,Maharashtra,Pune,411998,"Retail Unit 394, Omkar Plaza, Opp. Behind City Mall, Pune, Maharashtra – 411998",1300,Rented,10:00:00,21:00:00,01-10-2018,Available,CCTV,15,MGR0074,Ritu Bhat
STORE048,West,Maharashtra,Pune,411652,"Store 309, Block D, Central Avenue, Pune, Maharashtra – 411652",1300,Owned,09:00:00,20:00:00,25-01-2017,Available,"CCTV, Alarm",5,MGR0186,Gaurav V. Bhat
STORE049,West,Maharashtra,Pune,411498,"Shop No. 345, Galaxy Mall, Near Opp. Central Hospital, Pune, Maharashtra – 411498",1300,Owned,10:00:00,19:00:00,23-05-2021,Available,Alarm,13,MGR0195,Ayaan Kulkarni
STORE050,West,Rajasthan,Jaipur,302075,"City Square Mall, Unit 399, Ground Floor, MG Road, Jaipur, Rajasthan – 302075",1100,Rented,09:00:00,20:00:00,04-09-2023,Not Available,CCTV,18,MGR0003,Isha V. Prasad
STORE051,West,Rajasthan,Jaipur,302067,"Store 189, Block B, Main Bazaar Road, Jaipur, Rajasthan – 302067",950,Owned,11:00:00,20:00:00,16-11-2021,Available,CCTV,18,MGR0008,Karan Naik
STORE052,West,Rajasthan,Jaipur,302047,"Shop 167, Building 142, Ring Road, Opp. Airport Road, Jaipur, Rajasthan – 302047",1400,Owned,10:00:00,21:00:00,03-11-2023,Not Available,Alarm,8,MGR0196,Divya Desai
STORE053,West,Rajasthan,Jaipur,302085,"Shop 314, Building 173, Lake View Road, Behind School Complex, Jaipur, Rajasthan – 302085",800,Rented,10:00:00,21:00:00,25-04-2022,Available,CCTV,6,MGR0200,Arjun Ghosh
STORE054,West,Rajasthan,Udaipur,313060,"Store 138, Block B, Central Avenue, Udaipur, Rajasthan – 313060",1400,Rented,10:00:00,21:00:00,23-11-2023,Available,"CCTV, Alarm",5,MGR0009,Ritu Kabir Pandey
STORE055,West,Rajasthan,Udaipur,313087,"Shop 331, Building 115, Park Street, Opp. Airport Road, Udaipur, Rajasthan – 313087",1000,Rented,10:00:00,19:00:00,10-12-2022,Available,None,11,MGR0012,Mohit Kapoor
STORE056,West,Rajasthan,Udaipur,313053,"Galaxy Mall, Unit 7, 1st Floor, Central Avenue, Udaipur, Rajasthan – 313053",800,Owned,11:00:00,20:00:00,15-11-2023,Available,None,12,MGR0173,Sanya Chopra
STORE057,West,Rajasthan,Udaipur,313091,"Pearl Tower, Unit 175, Ground Floor, MG Road, Udaipur, Rajasthan – 313091",1000,Owned,11:00:00,20:00:00,07-01-2023,Available,"CCTV, Alarm",7,MGR0182,Vikram Saxena
STORE058,South,Tamil Nadu,Chennai,600519,"Shop 122, Building 75, Central Avenue, Near Metro Station, Chennai, Tamil Nadu – 600519",1000,Owned,10:00:00,21:00:00,27-02-2023,Not Available,CCTV,6,MGR0042,Kritika Ghosh
STORE059,South,Tamil Nadu,Chennai,600726,"Shop 66, Building 34, MG Road, Behind City Mall, Chennai, Tamil Nadu – 600726",1200,Owned,11:00:00,20:00:00,09-10-2023,Available,Alarm,4,MGR0043,Ayaan Menon
STORE060,South,Tamil Nadu,Chennai,600538,"Shop 111, Building 24, Park Street, Near IT Park, Chennai, Tamil Nadu – 600538",1200,Rented,11:00:00,20:00:00,18-11-2022,Not Available,None,18,MGR0050,Shreya Bhattacharya
STORE061,South,Tamil Nadu,Coimbatore,641248,"Store No. 74, 1st Floor, City Square Mall, Opp. Airport Road, Coimbatore, Tamil Nadu – 641248",1400,Owned,10:00:00,21:00:00,15-06-2019,Not Available,CCTV,13,MGR0004,Neha Kulkarni
STORE062,South,Tamil Nadu,Coimbatore,641713,"Sunrise Plaza, Unit 189, 1st Floor, Central Avenue, Coimbatore, Tamil Nadu – 641713",1400,Owned,09:00:00,20:00:00,20-01-2021,Available,"CCTV, Alarm",8,MGR0018,Sanya Iyer
STORE063,South,Tamil Nadu,Coimbatore,641532,"Store 460, Block B, Industrial Area Road, Coimbatore, Tamil Nadu – 641532",950,Rented,10:00:00,19:00:00,30-05-2022,Not Available,"CCTV, Alarm",3,MGR0020,Suresh Nair
STORE064,South,Tamil Nadu,Madurai,625018,"Store No. 360, 1st Floor, Blue Diamond Complex, Behind Police Station, Madurai, Tamil Nadu – 625018",950,Owned,11:00:00,20:00:00,04-06-2022,Not Available,Alarm,17,MGR0001,Ayaan Bhat
STORE065,South,Tamil Nadu,Madurai,625045,"Shop 402, Building 157, Central Avenue, Near IT Park, Madurai, Tamil Nadu – 625045",800,Owned,10:00:00,21:00:00,17-06-2021,Available,CCTV,14,MGR0006,Siddharth Kapoor
STORE066,South,Tamil Nadu,Madurai,625026,"Shop No. 452, Galaxy Mall, Near Behind Police Station, Madurai, Tamil Nadu – 625026",1100,Rented,10:00:00,19:00:00,31-05-2021,Not Available,"CCTV, Alarm",13,MGR0026,Anjali Kohli
STORE067,North,Uttar Pradesh,Kanpur,208293,"Store 17, Block A, Park Street, Kanpur, Uttar Pradesh – 208293",800,Rented,11:00:00,20:00:00,29-04-2021,Available,CCTV,6,MGR0007,Ananya P. Ghosh
STORE068,North,Uttar Pradesh,Kanpur,208200,"Prime Square, Unit 18, 1st Floor, Station Road, Kanpur, Uttar Pradesh – 208200",1200,Owned,11:00:00,20:00:00,05-06-2020,Not Available,"CCTV, Alarm",6,MGR0041,Ishaan Kumar
STORE069,North,Uttar Pradesh,Kanpur,208061,"Omkar Plaza, Unit 282, 3rd Floor, Station Road, Kanpur, Uttar Pradesh – 208061",1100,Owned,11:00:00,20:00:00,03-05-2022,Not Available,None,18,MGR0047,Ayaan Rang
STORE070,North,Uttar Pradesh,Lucknow,226062,"Omkar Plaza, Unit 21, 3rd Floor, Main Bazaar Road, Lucknow, Uttar Pradesh – 226062",1400,Owned,09:00:00,20:00:00,21-09-2022,Not Available,CCTV,13,MGR0024,Kavya Bhatt
STORE071,North,Uttar Pradesh,Lucknow,226064,"Store No. 292, Ground Floor, Prime Square, Opp. Airport Road, Lucknow, Uttar Pradesh – 226064",800,Owned,11:00:00,20:00:00,18-10-2021,Not Available,Alarm,17,MGR0048,Deepika R. Mishra
STORE072,North,Uttar Pradesh,Lucknow,226093,"Shop 132, Building 195, Main Bazaar Road, Behind City Mall, Lucknow, Uttar Pradesh – 226093",1000,Rented,09:00:00,20:00:00,13-01-2017,Not Available,None,5,MGR0057,Sameer Chaudhary
STORE073,North,Uttar Pradesh,Lucknow,226092,"Retail Unit 55, Prime Square, Opp. Opp. Bus Stand, Lucknow, Uttar Pradesh – 226092",1100,Rented,10:00:00,21:00:00,01-01-2019,Available,Alarm,8,MGR0066,Madhuri R. Saxena
STORE074,North,Uttar Pradesh,Noida,201370,"Store 352, Block C, MG Road, Noida, Uttar Pradesh – 201370",800,Rented,11:00:00,20:00:00,30-10-2019,Not Available,CCTV,13,MGR0115,Deepika V. Tiwari
STORE075,North,Uttar Pradesh,Noida,201391,"Pearl Tower, Unit 191, 3rd Floor, Station Road, Noida, Uttar Pradesh – 201391",1200,Owned,11:00:00,20:00:00,24-01-2022,Available,CCTV,15,MGR0118,Nikhil Kulkarni
STORE076,North,Uttar Pradesh,Noida,201345,"Store 1, Block D, Central Avenue, Noida, Uttar Pradesh – 201345",1000,Owned,09:00:00,20:00:00,13-10-2023,Not Available,"CCTV, Alarm",18,MGR0137,Aisha Mehta
STORE077,East,West Bengal,Kolkata,700170,"Prime Square, Unit 93, 3rd Floor, Main Bazaar Road, Kolkata, West Bengal – 700170",1200,Owned,10:00:00,19:00:00,19-12-2020,Not Available,Alarm,6,MGR0002,Manish Dutta
STORE078,East,West Bengal,Kolkata,700119,"Retail Unit 94, Royal Trade Center, Opp. Near Railway Station, Kolkata, West Bengal – 700119",1200,Owned,10:00:00,21:00:00,03-10-2021,Available,CCTV,19,MGR0014,Pooja Bhattacharya
STORE079,East,West Bengal,Kolkata,700066,"Blue Diamond Complex, Unit 336, 1st Floor, Ring Road, Kolkata, West Bengal – 700066",950,Owned,10:00:00,19:00:00,22-05-2020,Not Available,Alarm,19,MGR0017,Sanya Dutta
STORE080,East,West Bengal,Kolkata,700190,"Shop No. 242, Sunrise Plaza, Near Opp. Bus Stand, Kolkata, West Bengal – 700190",1100,Rented,10:00:00,19:00:00,13-03-2022,Available,Alarm,8,MGR0029,Kritika Nath
